POP ID,NSG,Institución
MQ-A-3038-TE-R-S01-01,MQ_A_3039_IE_1,43057
MQ-A-3038-TE-R-S01-02,MQ_A_3038_IE_1,43165
MQ-A-3040-DS-R-S01-01,MQ_A_3040_IE_1,TECNICO AGROPECUARIO SAN MIGUEL ARCANGEL
MQ-A-3040-DS-R-S01-02,MQ_A_3007_CS_1,C.S. CHOJATA
MQ-A-3040-DS-R-S01-02,MQ_A_3007_DP_1,CPNP CHOJATA
MQ-A-3040-DS-R-S01-02,MQ_A_3007_IE_1,TUPAC AMARU II
MQ-A-3042-TE-R-S01-01,MQ_A_3042_IE_1,43060 SAN VICENTE DE PAUL
MQ-A-3042-TE-R-S01-02,-,-
MQ-A-3043-TE-R-S01-01,MQ_A_3043_CS_1,P.S. OYO OYO
MQ-A-3043-TE-R-S01-01,MQ_A_3043_IE_1,ANTONIO RAYMONDI
MQ-A-3043-TE-R-S01-02,-,-
MQ-A-3044-IN-R-S01-01,MQ_A_3044_IE_1,43079
MQ-A-3045-TE-R-S01-01,MQ_A_3045_IE_1,43062
MQ-A-3045-TE-R-S01-02,-,-
MQ-A-3047-TE-R-S01-01,-,-
MQ-A-3047-TE-R-S01-02,MQ_A_3047_IE_1,43065
MQ-A-3048-IN-R-S01-01,MQ_A_3048_CS_1,P.S. SANTA ROSA
MQ-A-3048-IN-R-S01-01,MQ_A_3048_IE_1,43084
MQ-A-3049-IN-R-S01-01,MQ_A_3049_IE_1,JUAN PABLO II
MQ-A-3049-IN-R-S01-01,MQ_A_3049_IE_2,JUAN PABLO II
MQ-A-3051-IN-R-S01-01,MQ_A_3051_CS_1,P.S. CHILATA
MQ-A-3051-IN-R-S01-01,MQ_A_3051_IE_1,CHILATA
MQ-A-3051-IN-R-S01-01,MQ_A_3051_IE_2,CHILATA
MQ-A-3051-IN-R-S01-02,-,-
MQ-A-3051-IN-R-S01-03,-,-
MQ-A-3052-TE-R-S01-01,MQ_A_3052_IE_1,QUERALA
